;t;Ps;Ta;yTi;Thm
5861;2021-12-25 01:15:00;0.0;2.4;17.579;0.0
5862;2021-12-25 01:30:00;0.0;2.4;17.496666666666666;0.0
5863;2021-12-25 01:45:00;0.0;2.4;17.42230769230769;0.0
5864;2021-12-25 02:00:00;0.0;1.9;17.357857142857142;0.0
5865;2021-12-25 02:15:00;0.0;1.9;17.311666666666667;0.0
5866;2021-12-25 02:30:00;0.0;1.9;17.216923076923077;0.0
5867;2021-12-25 02:45:00;0.0;1.9;17.170833333333334;0.0
5868;2021-12-25 03:00:00;0.0;1.2;17.082666666666665;0.0
5869;2021-12-25 03:15:00;0.0;1.2;17.048571428571428;0.0
5870;2021-12-25 03:30:00;0.0;1.2;16.971666666666664;0.0
5871;2021-12-25 03:45:00;0.0;1.2;16.938;0.0
5872;2021-12-25 04:00:00;0.0;0.5;16.896666666666665;0.0
5873;2021-12-25 04:15:00;0.0;0.5;16.828666666666667;0.0
5874;2021-12-25 04:30:00;0.0;0.5;16.766666666666666;0.0
5875;2021-12-25 04:45:00;0.0;0.5;16.7225;0.0
5876;2021-12-25 05:00:00;0.0;-0.3;16.61466666666667;0.0
5877;2021-12-25 05:15:00;0.0;-0.3;16.608666666666664;0.0
5878;2021-12-25 05:30:00;0.0;-0.3;16.554545454545455;0.0
5879;2021-12-25 05:45:00;0.0;-0.3;16.490833333333335;35.55555555555556
5880;2021-12-25 06:00:00;0.0;-1.3;16.816875000000003;44.610169491525426
5881;2021-12-25 06:15:00;0.0;-1.3;17.374000000000002;41.353846153846156
5882;2021-12-25 06:30:00;0.0;-1.3;17.736666666666668;21.746268656716417
5883;2021-12-25 06:45:00;0.0;-1.3;17.681;35.875
5884;2021-12-25 07:00:00;0.0;-2.0;18.074;33.9672131147541
5885;2021-12-25 07:15:00;0.0;-2.0;18.244444444444444;34.0
5886;2021-12-25 07:30:00;0.0;-2.0;18.383571428571432;37.6551724137931
5887;2021-12-25 07:45:00;0.0;-2.0;18.515833333333333;40.25
5888;2021-12-25 08:00:00;0.04722222222222222;-1.6;18.485714285714288;45.81818181818181
5889;2021-12-25 08:15:00;0.04722222222222222;-1.6;18.403846153846153;40.35294117647059
5890;2021-12-25 08:30:00;0.04722222222222222;-1.6;18.64428571428571;0.0
5891;2021-12-25 08:45:00;0.04722222222222222;-1.6;18.576363636363638;0.0
5892;2021-12-25 09:00:00;0.14722222222222223;-0.9;18.24125;0.0
